Symbol	EntrezID	Family	Species	Protein_have_DBD
SALL3	27164	zf-C2H2	Homo sapiens	spalt-like transcription factor 3 (SALL3)
SALL4	57167	zf-C2H2	Homo sapiens	spalt-like transcription factor 4 (SALL4)
SCRT1	83482	zf-C2H2	Homo sapiens	scratch family zinc finger 1 (SCRT1)
SCRT2	85508	zf-C2H2	Homo sapiens	scratch family zinc finger 2 (SCRT2)
SNAI1	6615	zf-C2H2	Homo sapiens	snail family zinc finger 1 (SNAI1)
SNAI2	6591	zf-C2H2	Homo sapiens	snail family zinc finger 2 (SNAI2)
SNAI3	333929	zf-C2H2	Homo sapiens	snail family zinc finger 3 (SNAI3)
SP1	6667	zf-C2H2	Homo sapiens	Sp1 transcription factor (SP1)
SP2	6668	zf-C2H2	Homo sapiens	Sp2 transcription factor (SP2)
SP3	6670	zf-C2H2	Homo sapiens	Sp3 transcription factor (SP3)
SP4	6671	zf-C2H2	Homo sapiens	Sp4 transcription factor (SP4)
SP5	389058	zf-C2H2	Homo sapiens	Sp5 transcription factor (SP5)
SP6	80320	zf-C2H2	Homo sapiens	Sp6 transcription factor (SP6)
SP7	121340	zf-C2H2	Homo sapiens	Sp7 transcription factor (SP7)
SP8	221833	zf-C2H2	Homo sapiens	Sp8 transcription factor (SP8)
SP9	100131390	zf-C2H2	Homo sapiens	Sp9 transcription factor (SP9)
TRERF1	55809	zf-C2H2	Homo sapiens	transcriptional regulating factor 1 (TRERF1)
TSHZ1	10194	zf-C2H2	Homo sapiens	teashirt zinc finger homeobox 1 (TSHZ1)
TSHZ3	57616	zf-C2H2	Homo sapiens	teashirt zinc finger homeobox 3 (TSHZ3)
VEZF1	7716	zf-C2H2	Homo sapiens	vascular endothelial zinc finger 1 (VEZF1)
WIZ	58525	zf-C2H2	Homo sapiens	widely interspaced zinc finger motifs (WIZ)
WT1	7490	zf-C2H2	Homo sapiens	Wilms tumor 1 (WT1)
YY1	7528	zf-C2H2	Homo sapiens	YY1 transcription factor (YY1)
YY2	404281	zf-C2H2	Homo sapiens	YY2 transcription factor (YY2)
ZEB1	6935	zf-C2H2	Homo sapiens	zinc finger E-box binding homeobox 1 (ZEB1)
ZEB2	9839	zf-C2H2	Homo sapiens	zinc finger E-box binding homeobox 2 (ZEB2)
ZFAT	57623	zf-C2H2	Homo sapiens	zinc finger and AT-hook domain containing (ZFAT)
ZFP1	162239	zf-C2H2	Homo sapiens	ZFP1 zinc finger protein (ZFP1)
ZFP14	57677	zf-C2H2	Homo sapiens	ZFP14 zinc finger protein (ZFP14)
ZFP2	80108	zf-C2H2	Homo sapiens	ZFP2 zinc finger protein (ZFP2)
ZFP28	140612	zf-C2H2	Homo sapiens	ZFP28 zinc finger protein (ZFP28)
ZFP3	124961	zf-C2H2	Homo sapiens	ZFP3 zinc finger protein (ZFP3)
ZFP30	22835	zf-C2H2	Homo sapiens	ZFP30 zinc finger protein (ZFP30)
ZFP37	7539	zf-C2H2	Homo sapiens	ZFP37 zinc finger protein (ZFP37)
ZFP41	286128	zf-C2H2	Homo sapiens	ZFP41 zinc finger protein (ZFP41)
ZFP42	132625	zf-C2H2	Homo sapiens	ZFP42 zinc finger protein (ZFP42)
ZFP57	346171	zf-C2H2	Homo sapiens	ZFP57 zinc finger protein (ZFP57)
ZFP62	643836	zf-C2H2	Homo sapiens	ZFP62 zinc finger protein (ZFP62)
ZFP64	55734	zf-C2H2	Homo sapiens	ZFP64 zinc finger protein (ZFP64)
ZFP69	339559	zf-C2H2	Homo sapiens	ZFP69 zinc finger protein (ZFP69)
ZFP69B	65243	zf-C2H2	Homo sapiens	ZFP69 zinc finger protein B (ZFP69B)
ZFP82	284406	zf-C2H2	Homo sapiens	ZFP82 zinc finger protein (ZFP82)
ZFP90	146198	zf-C2H2	Homo sapiens	ZFP90 zinc finger protein (ZFP90)
ZFP91	80829	zf-C2H2	Homo sapiens	ZFP91 zinc finger protein (ZFP91)
ZFP92	139735	zf-C2H2	Homo sapiens	ZFP92 zinc finger protein (ZFP92)
ZFPM1	161882	zf-C2H2	Homo sapiens	zinc finger protein, FOG family member 1 (ZFPM1)
ZFX	7543	zf-C2H2	Homo sapiens	zinc finger protein, X-linked (ZFX)
ZFY	7544	zf-C2H2	Homo sapiens	zinc finger protein, Y-linked (ZFY)
ZIC1	7545	zf-C2H2	Homo sapiens	Zic family member 1 (ZIC1)
ZIC2	7546	zf-C2H2	Homo sapiens	Zic family member 2 (ZIC2)
ZIC3	7547	zf-C2H2	Homo sapiens	Zic family member 3 (ZIC3)
ZIC4	84107	zf-C2H2	Homo sapiens	Zic family member 4 (ZIC4)
ZIC5	85416	zf-C2H2	Homo sapiens	Zic family member 5 (ZIC5)
ZIK1	284307	zf-C2H2	Homo sapiens	zinc finger protein interacting with K protein 1 (ZIK1)
ZIM2	23619	zf-C2H2	Homo sapiens	zinc finger, imprinted 2 (ZIM2)
ZIM3	114026	zf-C2H2	Homo sapiens	zinc finger, imprinted 3 (ZIM3)
ZKSCAN1	7586	zf-C2H2	Homo sapiens	zinc finger with KRAB and SCAN domains 1 (ZKSCAN1)
ZKSCAN2	342357	zf-C2H2	Homo sapiens	zinc finger with KRAB and SCAN domains 2 (ZKSCAN2)
ZKSCAN3	80317	zf-C2H2	Homo sapiens	zinc finger with KRAB and SCAN domains 3 (ZKSCAN3)
ZKSCAN4	387032	zf-C2H2	Homo sapiens	zinc finger with KRAB and SCAN domains 4 (ZKSCAN4)
ZKSCAN5	23660	zf-C2H2	Homo sapiens	zinc finger with KRAB and SCAN domains 5 (ZKSCAN5)
ZKSCAN7	55888	zf-C2H2	Homo sapiens	zinc finger with KRAB and SCAN domains 7 (ZKSCAN7)
ZKSCAN8	7745	zf-C2H2	Homo sapiens	zinc finger with KRAB and SCAN domains 8 (ZKSCAN8)
ZNF10	7556	zf-C2H2	Homo sapiens	zinc finger protein 10 (ZNF10)
ZNF100	163227	zf-C2H2	Homo sapiens	zinc finger protein 100 (ZNF100)
ZNF101	94039	zf-C2H2	Homo sapiens	zinc finger protein 101 (ZNF101)
ZNF107	51427	zf-C2H2	Homo sapiens	zinc finger protein 107 (ZNF107)
ZNF112	7771	zf-C2H2	Homo sapiens	zinc finger protein 112 (ZNF112)
ZNF114	163071	zf-C2H2	Homo sapiens	zinc finger protein 114 (ZNF114)
ZNF117	51351	zf-C2H2	Homo sapiens	zinc finger protein 117 (ZNF117)
ZNF12	7559	zf-C2H2	Homo sapiens	zinc finger protein 12 (ZNF12)
ZNF121	7675	zf-C2H2	Homo sapiens	zinc finger protein 121 (ZNF121)
ZNF124	7678	zf-C2H2	Homo sapiens	zinc finger protein 124 (ZNF124)
ZNF132	7691	zf-C2H2	Homo sapiens	zinc finger protein 132 (ZNF132)
ZNF133	7692	zf-C2H2	Homo sapiens	zinc finger protein 133 (ZNF133)
ZNF134	7693	zf-C2H2	Homo sapiens	zinc finger protein 134 (ZNF134)
ZNF135	7694	zf-C2H2	Homo sapiens	zinc finger protein 135 (ZNF135)
ZNF136	7695	zf-C2H2	Homo sapiens	zinc finger protein 136 (ZNF136)
ZNF138	7697	zf-C2H2	Homo sapiens	zinc finger protein 138 (ZNF138)
ZNF14	7561	zf-C2H2	Homo sapiens	zinc finger protein 14 (ZNF14)
ZNF140	7699	zf-C2H2	Homo sapiens	zinc finger protein 140 (ZNF140)
ZNF141	7700	zf-C2H2	Homo sapiens	zinc finger protein 141 (ZNF141)
ZNF142	7701	zf-C2H2	Homo sapiens	zinc finger protein 142 (ZNF142)
ZNF143	7702	zf-C2H2	Homo sapiens	zinc finger protein 143 (ZNF143)
ZNF146	7705	zf-C2H2	Homo sapiens	zinc finger protein 146 (ZNF146)
ZNF148	7707	zf-C2H2	Homo sapiens	zinc finger protein 148 (ZNF148)
ZNF154	7710	zf-C2H2	Homo sapiens	zinc finger protein 154 (ZNF154)
ZNF155	7711	zf-C2H2	Homo sapiens	zinc finger protein 155 (ZNF155)
ZNF157	7712	zf-C2H2	Homo sapiens	zinc finger protein 157 (ZNF157)
ZNF16	7564	zf-C2H2	Homo sapiens	zinc finger protein 16 (ZNF16)
ZNF160	90338	zf-C2H2	Homo sapiens	zinc finger protein 160 (ZNF160)
ZNF165	7718	zf-C2H2	Homo sapiens	zinc finger protein 165 (ZNF165)
ZNF169	169841	zf-C2H2	Homo sapiens	zinc finger protein 169 (ZNF169)
ZNF17	7565	zf-C2H2	Homo sapiens	zinc finger protein 17 (ZNF17)
ZNF174	7727	zf-C2H2	Homo sapiens	zinc finger protein 174 (ZNF174)
ZNF175	7728	zf-C2H2	Homo sapiens	zinc finger protein 175 (ZNF175)
ZNF177	7730	zf-C2H2	Homo sapiens	zinc finger protein 177 (ZNF177)
ZNF18	7566	zf-C2H2	Homo sapiens	zinc finger protein 18 (ZNF18)
ZNF180	7733	zf-C2H2	Homo sapiens	zinc finger protein 180 (ZNF180)
ZNF181	339318	zf-C2H2	Homo sapiens	zinc finger protein 181 (ZNF181)
ZNF182	7569	zf-C2H2	Homo sapiens	zinc finger protein 182 (ZNF182)
ZNF184	7738	zf-C2H2	Homo sapiens	zinc finger protein 184 (ZNF184)
ZNF189	7743	zf-C2H2	Homo sapiens	zinc finger protein 189 (ZNF189)
ZNF19	7567	zf-C2H2	Homo sapiens	zinc finger protein 19 (ZNF19)
ZNF195	7748	zf-C2H2	Homo sapiens	zinc finger protein 195 (ZNF195)
ZNF197	10168	zf-C2H2	Homo sapiens	zinc finger protein 197 (ZNF197)
ZNF2	7549	zf-C2H2	Homo sapiens	zinc finger protein 2 (ZNF2)
ZNF20	7568	zf-C2H2	Homo sapiens	zinc finger protein 20 (ZNF20)
ZNF200	7752	zf-C2H2	Homo sapiens	zinc finger protein 200 (ZNF200)
ZNF202	7753	zf-C2H2	Homo sapiens	zinc finger protein 202 (ZNF202)
ZNF205	7755	zf-C2H2	Homo sapiens	zinc finger protein 205 (ZNF205)
ZNF208	7757	zf-C2H2	Homo sapiens	zinc finger protein 208 (ZNF208)
ZNF211	10520	zf-C2H2	Homo sapiens	zinc finger protein 211 (ZNF211)
ZNF212	7988	zf-C2H2	Homo sapiens	zinc finger protein 212 (ZNF212)
ZNF213	7760	zf-C2H2	Homo sapiens	zinc finger protein 213 (ZNF213)
ZNF214	7761	zf-C2H2	Homo sapiens	zinc finger protein 214 (ZNF214)
ZNF215	7762	zf-C2H2	Homo sapiens	zinc finger protein 215 (ZNF215)
ZNF217	7764	zf-C2H2	Homo sapiens	zinc finger protein 217 (ZNF217)
ZNF219	51222	zf-C2H2	Homo sapiens	zinc finger protein 219 (ZNF219)
ZNF22	7570	zf-C2H2	Homo sapiens	zinc finger protein 22 (ZNF22)
ZNF221	7638	zf-C2H2	Homo sapiens	zinc finger protein 221 (ZNF221)
ZNF222	7673	zf-C2H2	Homo sapiens	zinc finger protein 222 (ZNF222)
ZNF223	7766	zf-C2H2	Homo sapiens	zinc finger protein 223 (ZNF223)
ZNF224	7767	zf-C2H2	Homo sapiens	zinc finger protein 224 (ZNF224)
ZNF225	7768	zf-C2H2	Homo sapiens	zinc finger protein 225 (ZNF225)
ZNF226	7769	zf-C2H2	Homo sapiens	zinc finger protein 226 (ZNF226)
ZNF227	7770	zf-C2H2	Homo sapiens	zinc finger protein 227 (ZNF227)
ZNF229	7772	zf-C2H2	Homo sapiens	zinc finger protein 229 (ZNF229)
ZNF23	7571	zf-C2H2	Homo sapiens	zinc finger protein 23 (ZNF23)
ZNF230	7773	zf-C2H2	Homo sapiens	zinc finger protein 230 (ZNF230)
ZNF232	7775	zf-C2H2	Homo sapiens	zinc finger protein 232 (ZNF232)
ZNF233	353355	zf-C2H2	Homo sapiens	zinc finger protein 233 (ZNF233)
ZNF234	10780	zf-C2H2	Homo sapiens	zinc finger protein 234 (ZNF234)
ZNF235	9310	zf-C2H2	Homo sapiens	zinc finger protein 235 (ZNF235)
ZNF236	7776	zf-C2H2	Homo sapiens	zinc finger protein 236 (ZNF236)
ZNF239	8187	zf-C2H2	Homo sapiens	zinc finger protein 239 (ZNF239)
ZNF24	7572	zf-C2H2	Homo sapiens	zinc finger protein 24 (ZNF24)
ZNF248	57209	zf-C2H2	Homo sapiens	zinc finger protein 248 (ZNF248)
ZNF25	219749	zf-C2H2	Homo sapiens	zinc finger protein 25 (ZNF25)
ZNF250	58500	zf-C2H2	Homo sapiens	zinc finger protein 250 (ZNF250)
ZNF251	90987	zf-C2H2	Homo sapiens	zinc finger protein 251 (ZNF251)
ZNF253	56242	zf-C2H2	Homo sapiens	zinc finger protein 253 (ZNF253)
ZNF254	9534	zf-C2H2	Homo sapiens	zinc finger protein 254 (ZNF254)
ZNF256	10172	zf-C2H2	Homo sapiens	zinc finger protein 256 (ZNF256)
ZNF257	113835	zf-C2H2	Homo sapiens	zinc finger protein 257 (ZNF257)
ZNF26	7574	zf-C2H2	Homo sapiens	zinc finger protein 26 (ZNF26)
ZNF260	339324	zf-C2H2	Homo sapiens	zinc finger protein 260 (ZNF260)
ZNF263	10127	zf-C2H2	Homo sapiens	zinc finger protein 263 (ZNF263)
ZNF264	9422	zf-C2H2	Homo sapiens	zinc finger protein 264 (ZNF264)
ZNF266	10781	zf-C2H2	Homo sapiens	zinc finger protein 266 (ZNF266)
ZNF267	10308	zf-C2H2	Homo sapiens	zinc finger protein 267 (ZNF267)
ZNF268	10795	zf-C2H2	Homo sapiens	zinc finger protein 268 (ZNF268)
ZNF273	10793	zf-C2H2	Homo sapiens	zinc finger protein 273 (ZNF273)
ZNF274	10782	zf-C2H2	Homo sapiens	zinc finger protein 274 (ZNF274)
ZNF275	10838	zf-C2H2	Homo sapiens	zinc finger protein 275 (ZNF275)
ZNF276	92822	zf-C2H2	Homo sapiens	zinc finger protein 276 (ZNF276)
ZNF28	7576	zf-C2H2	Homo sapiens	zinc finger protein 28 (ZNF28)
ZNF281	23528	zf-C2H2	Homo sapiens	zinc finger protein 281 (ZNF281)
ZNF282	8427	zf-C2H2	Homo sapiens	zinc finger protein 282 (ZNF282)
ZNF283	284349	zf-C2H2	Homo sapiens	zinc finger protein 283 (ZNF283)
ZNF284	342909	zf-C2H2	Homo sapiens	zinc finger protein 284 (ZNF284)
ZNF285	26974	zf-C2H2	Homo sapiens	zinc finger protein 285 (ZNF285)
ZNF286A	57335	zf-C2H2	Homo sapiens	zinc finger protein 286A (ZNF286A)
ZNF286B	729288	zf-C2H2	Homo sapiens	zinc finger protein 286B (ZNF286B)
ZNF287	57336	zf-C2H2	Homo sapiens	zinc finger protein 287 (ZNF287)
ZNF292	23036	zf-C2H2	Homo sapiens	zinc finger protein 292 (ZNF292)
ZNF296	162979	zf-C2H2	Homo sapiens	zinc finger protein 296 (ZNF296)
ZNF3	7551	zf-C2H2	Homo sapiens	zinc finger protein 3 (ZNF3)
ZNF30	90075	zf-C2H2	Homo sapiens	zinc finger protein 30 (ZNF30)
ZNF300	91975	zf-C2H2	Homo sapiens	zinc finger protein 300 (ZNF300)
ZNF302	55900	zf-C2H2	Homo sapiens	zinc finger protein 302 (ZNF302)
ZNF304	57343	zf-C2H2	Homo sapiens	zinc finger protein 304 (ZNF304)
ZNF311	282890	zf-C2H2	Homo sapiens	zinc finger protein 311 (ZNF311)
ZNF317	57693	zf-C2H2	Homo sapiens	zinc finger protein 317 (ZNF317)
ZNF319	57567	zf-C2H2	Homo sapiens	zinc finger protein 319 (ZNF319)
ZNF32	7580	zf-C2H2	Homo sapiens	zinc finger protein 32 (ZNF32)
ZNF320	162967	zf-C2H2	Homo sapiens	zinc finger protein 320 (ZNF320)
ZNF322	79692	zf-C2H2	Homo sapiens	zinc finger protein 322 (ZNF322)
ZNF324	25799	zf-C2H2	Homo sapiens	zinc finger protein 324 (ZNF324)
ZNF324B	388569	zf-C2H2	Homo sapiens	zinc finger protein 324B (ZNF324B)
ZNF329	79673	zf-C2H2	Homo sapiens	zinc finger protein 329 (ZNF329)
ZNF331	55422	zf-C2H2	Homo sapiens	zinc finger protein 331 (ZNF331)
ZNF333	84449	zf-C2H2	Homo sapiens	zinc finger protein 333 (ZNF333)
ZNF334	55713	zf-C2H2	Homo sapiens	zinc finger protein 334 (ZNF334)
ZNF335	63925	zf-C2H2	Homo sapiens	zinc finger protein 335 (ZNF335)
ZNF337	26152	zf-C2H2	Homo sapiens	zinc finger protein 337 (ZNF337)
ZNF33A	7581	zf-C2H2	Homo sapiens	zinc finger protein 33A (ZNF33A)
ZNF33B	7582	zf-C2H2	Homo sapiens	zinc finger protein 33B (ZNF33B)
ZNF34	80778	zf-C2H2	Homo sapiens	zinc finger protein 34 (ZNF34)
ZNF341	84905	zf-C2H2	Homo sapiens	zinc finger protein 341 (ZNF341)
ZNF343	79175	zf-C2H2	Homo sapiens	zinc finger protein 343 (ZNF343)
ZNF345	25850	zf-C2H2	Homo sapiens	zinc finger protein 345 (ZNF345)
ZNF347	84671	zf-C2H2	Homo sapiens	zinc finger protein 347 (ZNF347)
ZNF35	7584	zf-C2H2	Homo sapiens	zinc finger protein 35 (ZNF35)
ZNF362	149076	zf-C2H2	Homo sapiens	zinc finger protein 362 (ZNF362)
ZNF366	167465	zf-C2H2	Homo sapiens	zinc finger protein 366 (ZNF366)
ZNF367	195828	zf-C2H2	Homo sapiens	zinc finger protein 367 (ZNF367)
ZNF37A	7587	zf-C2H2	Homo sapiens	zinc finger protein 37A (ZNF37A)
ZNF382	84911	zf-C2H2	Homo sapiens	zinc finger protein 382 (ZNF382)
ZNF383	163087	zf-C2H2	Homo sapiens	zinc finger protein 383 (ZNF383)
ZNF384	171017	zf-C2H2	Homo sapiens	zinc finger protein 384 (ZNF384)
ZNF391	346157	zf-C2H2	Homo sapiens	zinc finger protein 391 (ZNF391)
ZNF394	84124	zf-C2H2	Homo sapiens	zinc finger protein 394 (ZNF394)
ZNF396	252884	zf-C2H2	Homo sapiens	zinc finger protein 396 (ZNF396)
ZNF397	84307	zf-C2H2	Homo sapiens	zinc finger protein 397 (ZNF397)
ZNF398	57541	zf-C2H2	Homo sapiens	zinc finger protein 398 (ZNF398)
ZNF404	342908	zf-C2H2	Homo sapiens	zinc finger protein 404 (ZNF404)
ZNF407	55628	zf-C2H2	Homo sapiens	zinc finger protein 407 (ZNF407)
ZNF408	79797	zf-C2H2	Homo sapiens	zinc finger protein 408 (ZNF408)
ZNF41	7592	zf-C2H2	Homo sapiens	zinc finger protein 41 (ZNF41)
ZNF410	57862	zf-C2H2	Homo sapiens	zinc finger protein 410 (ZNF410)
ZNF415	55786	zf-C2H2	Homo sapiens	zinc finger protein 415 (ZNF415)
ZNF416	55659	zf-C2H2	Homo sapiens	zinc finger protein 416 (ZNF416)
ZNF417	147687	zf-C2H2	Homo sapiens	zinc finger protein 417 (ZNF417)
ZNF418	147686	zf-C2H2	Homo sapiens	zinc finger protein 418 (ZNF418)
ZNF419	79744	zf-C2H2	Homo sapiens	zinc finger protein 419 (ZNF419)
ZNF420	147923	zf-C2H2	Homo sapiens	zinc finger protein 420 (ZNF420)
ZNF423	23090	zf-C2H2	Homo sapiens	zinc finger protein 423 (ZNF423)
ZNF425	155054	zf-C2H2	Homo sapiens	zinc finger protein 425 (ZNF425)
ZNF426	79088	zf-C2H2	Homo sapiens	zinc finger protein 426 (ZNF426)
ZNF429	353088	zf-C2H2	Homo sapiens	zinc finger protein 429 (ZNF429)
ZNF43	7594	zf-C2H2	Homo sapiens	zinc finger protein 43 (ZNF43)
ZNF430	80264	zf-C2H2	Homo sapiens	zinc finger protein 430 (ZNF430)
ZNF431	170959	zf-C2H2	Homo sapiens	zinc finger protein 431 (ZNF431)
ZNF432	9668	zf-C2H2	Homo sapiens	zinc finger protein 432 (ZNF432)
ZNF433	163059	zf-C2H2	Homo sapiens	zinc finger protein 433 (ZNF433)
ZNF436	80818	zf-C2H2	Homo sapiens	zinc finger protein 436 (ZNF436)
ZNF439	90594	zf-C2H2	Homo sapiens	zinc finger protein 439 (ZNF439)
ZNF44	51710	zf-C2H2	Homo sapiens	zinc finger protein 44 (ZNF44)
ZNF440	126070	zf-C2H2	Homo sapiens	zinc finger protein 440 (ZNF440)
ZNF441	126068	zf-C2H2	Homo sapiens	zinc finger protein 441 (ZNF441)
ZNF442	79973	zf-C2H2	Homo sapiens	zinc finger protein 442 (ZNF442)
ZNF443	10224	zf-C2H2	Homo sapiens	zinc finger protein 443 (ZNF443)
ZNF444	55311	zf-C2H2	Homo sapiens	zinc finger protein 444 (ZNF444)
ZNF445	353274	zf-C2H2	Homo sapiens	zinc finger protein 445 (ZNF445)
ZNF446	55663	zf-C2H2	Homo sapiens	zinc finger protein 446 (ZNF446)
ZNF449	203523	zf-C2H2	Homo sapiens	zinc finger protein 449 (ZNF449)
ZNF45	7596	zf-C2H2	Homo sapiens	zinc finger protein 45 (ZNF45)
ZNF454	285676	zf-C2H2	Homo sapiens	zinc finger protein 454 (ZNF454)
ZNF460	10794	zf-C2H2	Homo sapiens	zinc finger protein 460 (ZNF460)
ZNF461	92283	zf-C2H2	Homo sapiens	zinc finger protein 461 (ZNF461)
ZNF467	168544	zf-C2H2	Homo sapiens	zinc finger protein 467 (ZNF467)
ZNF468	90333	zf-C2H2	Homo sapiens	zinc finger protein 468 (ZNF468)
ZNF469	84627	zf-C2H2	Homo sapiens	zinc finger protein 469 (ZNF469)
ZNF470	388566	zf-C2H2	Homo sapiens	zinc finger protein 470 (ZNF470)
ZNF471	57573	zf-C2H2	Homo sapiens	zinc finger protein 471 (ZNF471)
ZNF473	25888	zf-C2H2	Homo sapiens	zinc finger protein 473 (ZNF473)
ZNF479	90827	zf-C2H2	Homo sapiens	zinc finger protein 479 (ZNF479)
ZNF48	197407	zf-C2H2	Homo sapiens	zinc finger protein 48 (ZNF48)
ZNF480	147657	zf-C2H2	Homo sapiens	zinc finger protein 480 (ZNF480)
ZNF483	158399	zf-C2H2	Homo sapiens	zinc finger protein 483 (ZNF483)
ZNF484	83744	zf-C2H2	Homo sapiens	zinc finger protein 484 (ZNF484)
ZNF485	220992	zf-C2H2	Homo sapiens	zinc finger protein 485 (ZNF485)
ZNF486	90649	zf-C2H2	Homo sapiens	zinc finger protein 486 (ZNF486)
ZNF488	118738	zf-C2H2	Homo sapiens	zinc finger protein 488 (ZNF488)
ZNF490	57474	zf-C2H2	Homo sapiens	zinc finger protein 490 (ZNF490)
ZNF491	126069	zf-C2H2	Homo sapiens	zinc finger protein 491 (ZNF491)
ZNF492	57615	zf-C2H2	Homo sapiens	zinc finger protein 492 (ZNF492)
ZNF493	284443	zf-C2H2	Homo sapiens	zinc finger protein 493 (ZNF493)
ZNF496	84838	zf-C2H2	Homo sapiens	zinc finger protein 496 (ZNF496)
ZNF497	162968	zf-C2H2	Homo sapiens	zinc finger protein 497 (ZNF497)
ZNF500	26048	zf-C2H2	Homo sapiens	zinc finger protein 500 (ZNF500)
ZNF501	115560	zf-C2H2	Homo sapiens	zinc finger protein 501 (ZNF501)
ZNF502	91392	zf-C2H2	Homo sapiens	zinc finger protein 502 (ZNF502)
ZNF506	440515	zf-C2H2	Homo sapiens	zinc finger protein 506 (ZNF506)
ZNF507	22847	zf-C2H2	Homo sapiens	zinc finger protein 507 (ZNF507)
ZNF510	22869	zf-C2H2	Homo sapiens	zinc finger protein 510 (ZNF510)
ZNF512	84450	zf-C2H2	Homo sapiens	zinc finger protein 512 (ZNF512)
ZNF512B	57473	zf-C2H2	Homo sapiens	zinc finger protein 512B (ZNF512B)
ZNF513	130557	zf-C2H2	Homo sapiens	zinc finger protein 513 (ZNF513)
ZNF514	84874	zf-C2H2	Homo sapiens	zinc finger protein 514 (ZNF514)
ZNF516	9658	zf-C2H2	Homo sapiens	zinc finger protein 516 (ZNF516)
ZNF517	340385	zf-C2H2	Homo sapiens	zinc finger protein 517 (ZNF517)
ZNF519	162655	zf-C2H2	Homo sapiens	zinc finger protein 519 (ZNF519)
ZNF521	25925	zf-C2H2	Homo sapiens	zinc finger protein 521 (ZNF521)
ZNF524	147807	zf-C2H2	Homo sapiens	zinc finger protein 524 (ZNF524)
ZNF526	116115	zf-C2H2	Homo sapiens	zinc finger protein 526 (ZNF526)
ZNF527	84503	zf-C2H2	Homo sapiens	zinc finger protein 527 (ZNF527)
ZNF528	84436	zf-C2H2	Homo sapiens	zinc finger protein 528 (ZNF528)
ZNF529	57711	zf-C2H2	Homo sapiens	zinc finger protein 529 (ZNF529)
ZNF530	348327	zf-C2H2	Homo sapiens	zinc finger protein 530 (ZNF530)
ZNF532	55205	zf-C2H2	Homo sapiens	zinc finger protein 532 (ZNF532)
ZNF534	147658	zf-C2H2	Homo sapiens	zinc finger protein 534 (ZNF534)
ZNF536	9745	zf-C2H2	Homo sapiens	zinc finger protein 536 (ZNF536)
ZNF540	163255	zf-C2H2	Homo sapiens	zinc finger protein 540 (ZNF540)
ZNF541	84215	zf-C2H2	Homo sapiens	zinc finger protein 541 (ZNF541)
ZNF543	125919	zf-C2H2	Homo sapiens	zinc finger protein 543 (ZNF543)
ZNF544	27300	zf-C2H2	Homo sapiens	zinc finger protein 544 (ZNF544)
ZNF546	339327	zf-C2H2	Homo sapiens	zinc finger protein 546 (ZNF546)
ZNF547	284306	zf-C2H2	Homo sapiens	zinc finger protein 547 (ZNF547)
ZNF548	147694	zf-C2H2	Homo sapiens	zinc finger protein 548 (ZNF548)
ZNF549	256051	zf-C2H2	Homo sapiens	zinc finger protein 549 (ZNF549)
ZNF550	162972	zf-C2H2	Homo sapiens	zinc finger protein 550 (ZNF550)
ZNF551	90233	zf-C2H2	Homo sapiens	zinc finger protein 551 (ZNF551)
ZNF552	79818	zf-C2H2	Homo sapiens	zinc finger protein 552 (ZNF552)
ZNF554	115196	zf-C2H2	Homo sapiens	zinc finger protein 554 (ZNF554)
ZNF555	148254	zf-C2H2	Homo sapiens	zinc finger protein 555 (ZNF555)
ZNF556	80032	zf-C2H2	Homo sapiens	zinc finger protein 556 (ZNF556)
ZNF557	79230	zf-C2H2	Homo sapiens	zinc finger protein 557 (ZNF557)
ZNF558	148156	zf-C2H2	Homo sapiens	zinc finger protein 558 (ZNF558)
ZNF559	84527	zf-C2H2	Homo sapiens	zinc finger protein 559 (ZNF559)
ZNF559-ZNF177	100529215	zf-C2H2	Homo sapiens	ZNF559-ZNF177 readthrough (ZNF559-ZNF177)
ZNF560	147741	zf-C2H2	Homo sapiens	zinc finger protein 560 (ZNF560)
ZNF561	93134	zf-C2H2	Homo sapiens	zinc finger protein 561 (ZNF561)
ZNF562	54811	zf-C2H2	Homo sapiens	zinc finger protein 562 (ZNF562)
ZNF563	147837	zf-C2H2	Homo sapiens	zinc finger protein 563 (ZNF563)
ZNF564	163050	zf-C2H2	Homo sapiens	zinc finger protein 564 (ZNF564)
ZNF565	147929	zf-C2H2	Homo sapiens	zinc finger protein 565 (ZNF565)
ZNF566	84924	zf-C2H2	Homo sapiens	zinc finger protein 566 (ZNF566)
ZNF567	163081	zf-C2H2	Homo sapiens	zinc finger protein 567 (ZNF567)
ZNF568	374900	zf-C2H2	Homo sapiens	zinc finger protein 568 (ZNF568)
ZNF569	148266	zf-C2H2	Homo sapiens	zinc finger protein 569 (ZNF569)
ZNF57	126295	zf-C2H2	Homo sapiens	zinc finger protein 57 (ZNF57)
ZNF570	148268	zf-C2H2	Homo sapiens	zinc finger protein 570 (ZNF570)
ZNF571	51276	zf-C2H2	Homo sapiens	zinc finger protein 571 (ZNF571)
ZNF572	137209	zf-C2H2	Homo sapiens	zinc finger protein 572 (ZNF572)
ZNF573	126231	zf-C2H2	Homo sapiens	zinc finger protein 573 (ZNF573)
ZNF574	64763	zf-C2H2	Homo sapiens	zinc finger protein 574 (ZNF574)
ZNF575	284346	zf-C2H2	Homo sapiens	zinc finger protein 575 (ZNF575)
